what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1322659030675
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1322659030675
java.vm.specification.version,sysinfo,,,"1.7",1322659030675
java.vm.vendor,sysinfo,,,"Oracle Corporation",1322659030675
java.vm.version,sysinfo,,,"21.0-b17",1322659030675
started,bundle,org.eclipse.cdt.codan.ui,2.0.0.201109151620,"org.eclipse.cdt.codan.ui",1322659030935
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1322659031545
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1322659031775
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1322659032255
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers.ui",1322659032395
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322659051349
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1322659056159
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1322659056839
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322659060369
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322659081479
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1322659081539
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1322659085539
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1322659104369
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1322659104529
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1322659104699
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1322659104879
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1322659105449
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322659107079
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1322659109019
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322659111179
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322659127829
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1322659128809
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322659129119
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322659130159
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1322659131669
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322659133749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322659328178
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1322659376707
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1322659456025
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1322659456226
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1322659456616
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322659457966
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1322659459286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322659461886
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322659476216
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322659477836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322659486137
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322659506807
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322659517116
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1322659540086
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1322659540436
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322659558376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322659576642
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322659593976
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322659604976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322659924105
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322660069024
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1322660071913
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322660074393
